[2024-12-05T20:40:37.059+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.072+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.078+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.092+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-02-02 06:00:00+00:00
[2024-12-05T20:40:37.096+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=805) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-02-02T06:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmptkxdfnc7']
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:72} INFO - Started process 815 to run task
[2024-12-05T20:40:37.100+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask wget
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-02-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.584+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 13% 51.4M 2s
[2024-12-05T20:40:37.585+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 13%  255M 2s
[2024-12-05T20:40:37.586+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 14%  105M 2s
[2024-12-05T20:40:37.586+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 14% 87.9M 2s
[2024-12-05T20:40:37.586+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 14%  141M 2s
[2024-12-05T20:40:37.606+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 14% 2.38M 2s
[2024-12-05T20:40:37.608+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 15% 62.8M 2s
[2024-12-05T20:40:37.608+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 15%  162M 2s
[2024-12-05T20:40:37.609+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 15%  135M 2s
[2024-12-05T20:40:37.613+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 15% 7.91M 2s
[2024-12-05T20:40:37.622+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 15% 5.90M 2s
[2024-12-05T20:40:37.624+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 16% 35.3M 2s
[2024-12-05T20:40:37.625+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 16% 26.6M 2s
[2024-12-05T20:40:37.629+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 16% 13.0M 2s
[2024-12-05T20:40:37.631+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 16% 20.9M 2s
[2024-12-05T20:40:37.636+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 17% 9.73M 2s
[2024-12-05T20:40:37.637+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 17% 75.0M 2s
[2024-12-05T20:40:37.641+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 17% 21.1M 2s
[2024-12-05T20:40:37.661+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 17% 2.19M 2s
[2024-12-05T20:40:37.663+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 18% 73.8M 2s
[2024-12-05T20:40:37.663+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 18% 91.7M 2s
[2024-12-05T20:40:37.663+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 18%  115M 2s
[2024-12-05T20:40:37.664+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 18%  187M 2s
[2024-12-05T20:40:37.679+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 19% 3.13M 2s
[2024-12-05T20:40:37.680+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 19% 40.9M 2s
[2024-12-05T20:40:37.681+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 19%  106M 2s
[2024-12-05T20:40:37.684+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 19% 62.6M 1s
[2024-12-05T20:40:37.685+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 19%  203M 1s
[2024-12-05T20:40:37.685+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 20% 23.9M 1s
[2024-12-05T20:40:37.686+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 20%  197M 1s
[2024-12-05T20:40:37.686+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 20% 68.8M 1s
[2024-12-05T20:40:37.686+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 20%  143M 1s
[2024-12-05T20:40:37.696+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 21% 4.28M 1s
[2024-12-05T20:40:37.715+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 21% 2.59M 1s
[2024-12-05T20:40:37.716+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 21%  107M 1s
[2024-12-05T20:40:37.719+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 21% 13.6M 1s
[2024-12-05T20:40:37.720+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 22%  176M 1s
[2024-12-05T20:40:37.723+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 22%  229M 1s
[2024-12-05T20:40:37.724+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 22% 81.6M 1s
[2024-12-05T20:40:37.725+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 22% 59.7M 1s
[2024-12-05T20:40:37.725+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 23% 71.8M 1s
[2024-12-05T20:40:37.727+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 23% 57.5M 1s
[2024-12-05T20:40:37.727+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 23% 91.8M 1s
[2024-12-05T20:40:37.728+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 23% 43.0M 1s
[2024-12-05T20:40:37.733+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 23% 5.90M 1s
[2024-12-05T20:40:37.737+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 24% 9.99M 1s
[2024-12-05T20:40:37.740+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 24% 16.5M 1s
[2024-12-05T20:40:37.741+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 24% 65.3M 1s
[2024-12-05T20:40:37.743+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 24% 36.3M 1s
[2024-12-05T20:40:37.745+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 25%  149M 1s
[2024-12-05T20:40:37.751+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 25% 6.28M 1s
[2024-12-05T20:40:37.751+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 25%  188M 1s
[2024-12-05T20:40:37.752+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 25%  201M 1s
[2024-12-05T20:40:37.755+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 26%  158M 1s
[2024-12-05T20:40:37.757+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 26%  213M 1s
[2024-12-05T20:40:37.759+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 26%  216M 1s
[2024-12-05T20:40:37.761+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 26%  219M 1s
[2024-12-05T20:40:37.762+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 27%  118M 1s
[2024-12-05T20:40:37.763+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 27% 21.5M 1s
[2024-12-05T20:40:37.763+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 27% 24.3M 1s
[2024-12-05T20:40:37.786+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 27% 1.71M 1s
[2024-12-05T20:40:37.789+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 27%  111M 1s
[2024-12-05T20:40:37.825+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 28% 1.27M 1s
[2024-12-05T20:40:37.827+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 28% 24.0M 1s
[2024-12-05T20:40:37.829+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 28% 20.7M 1s
[2024-12-05T20:40:37.830+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 28%  107M 1s
[2024-12-05T20:40:37.836+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 29% 7.48M 1s
[2024-12-05T20:40:37.839+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 29% 77.5M 1s
[2024-12-05T20:40:37.842+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 29% 9.36M 1s
[2024-12-05T20:40:37.844+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 29% 17.7M 1s
[2024-12-05T20:40:37.846+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 30% 27.2M 1s
[2024-12-05T20:40:37.848+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 30%  159M 1s
[2024-12-05T20:40:37.854+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 30%  168M 1s
[2024-12-05T20:40:37.856+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 30%  249M 1s
[2024-12-05T20:40:37.863+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 31%  175M 1s
[2024-12-05T20:40:37.864+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 31% 11.2M 1s
[2024-12-05T20:40:37.866+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 31%  211M 1s
[2024-12-05T20:40:37.868+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 31% 14.7M 1s
[2024-12-05T20:40:37.868+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 31% 6.25M 1s
[2024-12-05T20:40:37.869+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 32% 12.7M 1s
[2024-12-05T20:40:37.876+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 32% 34.1M 1s
[2024-12-05T20:40:37.890+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 32% 2.29M 1s
[2024-12-05T20:40:37.892+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 32% 60.2M 1s
[2024-12-05T20:40:37.893+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 33% 45.0M 1s
[2024-12-05T20:40:37.895+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 33% 47.9M 1s
[2024-12-05T20:40:37.896+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 33% 24.4M 1s
[2024-12-05T20:40:37.897+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 33%  101M 1s
[2024-12-05T20:40:37.920+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 34% 1.96M 1s
[2024-12-05T20:40:37.921+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 34% 43.0M 1s
[2024-12-05T20:40:37.928+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 34% 76.8M 1s
[2024-12-05T20:40:37.931+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 34% 89.2M 1s
[2024-12-05T20:40:37.933+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 35% 58.6M 1s
[2024-12-05T20:40:37.936+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 35% 17.7M 1s
[2024-12-05T20:40:37.941+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 35% 82.4M 1s
[2024-12-05T20:40:37.944+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 35% 23.7M 1s
[2024-12-05T20:40:37.946+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 35% 4.10M 1s
[2024-12-05T20:40:37.946+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 36% 29.7M 1s
[2024-12-05T20:40:37.947+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 36% 29.2M 1s
[2024-12-05T20:40:37.947+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 36% 89.3M 1s
[2024-12-05T20:40:37.948+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 36% 20.4M 1s
[2024-12-05T20:40:37.950+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 37% 38.0M 1s
[2024-12-05T20:40:37.951+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 37% 54.4M 1s
[2024-12-05T20:40:37.956+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 37%  183M 1s
[2024-12-05T20:40:37.958+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 37% 33.5M 1s
[2024-12-05T20:40:37.959+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 38%  109M 1s
[2024-12-05T20:40:37.959+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 38%  130M 1s
[2024-12-05T20:40:37.960+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 38% 26.9M 1s
[2024-12-05T20:40:37.961+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 38% 37.0M 1s
