[2024-12-06T17:52:40.516+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 10% 76.9M 3s
[2024-12-06T17:52:40.517+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 10% 39.1M 3s
[2024-12-06T17:52:40.519+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 10% 24.6M 3s
[2024-12-06T17:52:40.519+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 10% 82.9M 3s
[2024-12-06T17:52:40.520+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 10% 40.3M 3s
[2024-12-06T17:52:40.523+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 10% 18.8M 3s
[2024-12-06T17:52:40.524+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 11% 49.3M 3s
[2024-12-06T17:52:40.526+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 11% 21.7M 3s
[2024-12-06T17:52:40.529+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 11% 29.4M 2s
[2024-12-06T17:52:40.531+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 11% 23.5M 2s
[2024-12-06T17:52:40.532+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 11% 38.2M 2s
[2024-12-06T17:52:40.533+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 11% 38.0M 2s
[2024-12-06T17:52:40.534+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 11% 41.0M 2s
[2024-12-06T17:52:40.535+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 11% 34.3M 2s
[2024-12-06T17:52:40.536+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 11% 59.5M 2s
[2024-12-06T17:52:40.538+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 11% 26.5M 2s
[2024-12-06T17:52:40.539+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 12% 69.3M 2s
[2024-12-06T17:52:40.542+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 12% 15.3M 2s
[2024-12-06T17:52:40.543+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 12% 86.2M 2s
[2024-12-06T17:52:40.546+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 12% 16.6M 2s
[2024-12-06T17:52:40.547+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 12% 53.7M 2s
[2024-12-06T17:52:40.549+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 12%  117M 2s
[2024-12-06T17:52:40.553+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 12% 42.1M 2s
[2024-12-06T17:52:40.554+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 12% 80.1M 2s
[2024-12-06T17:52:40.555+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 12% 73.6M 2s
[2024-12-06T17:52:40.556+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 12%  209M 2s
[2024-12-06T17:52:40.556+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 13% 63.1M 2s
[2024-12-06T17:52:40.557+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 13%  151M 2s
[2024-12-06T17:52:40.557+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 13%  200M 2s
[2024-12-06T17:52:40.559+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 13% 73.3M 2s
[2024-12-06T17:52:40.559+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 13%  112M 2s
[2024-12-06T17:52:40.560+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 13% 93.6M 2s
[2024-12-06T17:52:40.560+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 13%  221M 2s
[2024-12-06T17:52:40.560+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 13%  218M 2s
[2024-12-06T17:52:40.561+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 13% 28.3M 2s
[2024-12-06T17:52:40.561+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 13% 97.2M 2s
[2024-12-06T17:52:40.561+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 13%  111M 2s
[2024-12-06T17:52:40.561+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 14%  144M 2s
[2024-12-06T17:52:40.562+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 14%  102M 2s
[2024-12-06T17:52:40.562+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 14%  122M 2s
[2024-12-06T17:52:40.562+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 14%  114M 2s
[2024-12-06T17:52:40.562+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 14% 57.9M 2s
[2024-12-06T17:52:40.563+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 14% 90.3M 2s
[2024-12-06T17:52:40.563+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 14%  198M 2s
[2024-12-06T17:52:40.563+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 14%  126M 2s
[2024-12-06T17:52:40.563+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 14%  138M 2s
[2024-12-06T17:52:40.579+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 14% 2.52M 2s
[2024-12-06T17:52:40.580+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 15% 46.4M 2s
[2024-12-06T17:52:40.582+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 15%  304M 2s
[2024-12-06T17:52:40.582+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 15%  265M 2s
[2024-12-06T17:52:40.583+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 15%  284M 2s
[2024-12-06T17:52:40.583+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 15%  263M 2s
[2024-12-06T17:52:40.584+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 15%  264M 2s
[2024-12-06T17:52:40.584+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 15%  220M 2s
[2024-12-06T17:52:40.586+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 15%  249M 2s
[2024-12-06T17:52:40.587+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 15%  293M 2s
[2024-12-06T17:52:40.589+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 15%  298M 2s
[2024-12-06T17:52:40.590+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 16%  226M 2s
[2024-12-06T17:52:40.590+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 16%  326M 2s
[2024-12-06T17:52:40.591+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 16%  146M 2s
[2024-12-06T17:52:40.597+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 16%  224M 2s
[2024-12-06T17:52:40.598+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 16%  237M 2s
[2024-12-06T17:52:40.598+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 16%  255M 2s
[2024-12-06T17:52:40.598+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 16%  141M 2s
[2024-12-06T17:52:40.598+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 16%  250M 2s
[2024-12-06T17:52:40.598+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 16%  102M 2s
[2024-12-06T17:52:40.599+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 16%  195M 2s
[2024-12-06T17:52:40.599+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 17%  161M 2s
[2024-12-06T17:52:40.599+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 17%  170M 2s
[2024-12-06T17:52:40.600+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 17% 83.7M 2s
[2024-12-06T17:52:40.600+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 17%  137M 2s
[2024-12-06T17:52:40.600+0000] {subprocess.py:106} INFO -   8850K .......... .......... .......... .......... .......... 17% 76.4M 2s
[2024-12-06T17:52:40.600+0000] {subprocess.py:106} INFO -   8900K .......... .......... .......... .......... .......... 17% 74.8M 2s
[2024-12-06T17:52:40.601+0000] {subprocess.py:106} INFO -   8950K .......... .......... .......... .......... .......... 17%  169M 2s
[2024-12-06T17:52:40.601+0000] {subprocess.py:106} INFO -   9000K .......... .......... .......... .......... .......... 17%  328M 2s
[2024-12-06T17:52:40.601+0000] {subprocess.py:106} INFO -   9050K .......... .......... .......... .......... .......... 17%  319M 2s
[2024-12-06T17:52:40.601+0000] {subprocess.py:106} INFO -   9100K .......... .......... .......... .......... .......... 17%  274M 2s
