[2024-12-05T20:39:30.287+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  9% 20.8M 7s
[2024-12-05T20:39:30.293+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  9% 6.87M 7s
[2024-12-05T20:39:30.301+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  9% 5.10M 7s
[2024-12-05T20:39:30.304+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 10% 22.2M 7s
[2024-12-05T20:39:30.307+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 10% 21.7M 7s
[2024-12-05T20:39:30.308+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 10% 40.9M 7s
[2024-12-05T20:39:30.311+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 10% 14.0M 7s
[2024-12-05T20:39:30.317+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 11% 7.24M 6s
[2024-12-05T20:39:30.319+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11%  249M 6s
[2024-12-05T20:39:30.325+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 11% 6.54M 6s
[2024-12-05T20:39:30.335+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 11% 4.84M 6s
[2024-12-05T20:39:30.336+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 12% 47.4M 6s
[2024-12-05T20:39:30.349+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 12% 4.60M 6s
[2024-12-05T20:39:30.361+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 12% 20.1M 6s
[2024-12-05T20:39:30.368+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 12% 3.45M 6s
[2024-12-05T20:39:30.370+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 12% 14.6M 6s
[2024-12-05T20:39:30.372+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 13% 8.96M 6s
[2024-12-05T20:39:30.373+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 13% 32.9M 6s
[2024-12-05T20:39:30.376+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 13% 20.4M 5s
[2024-12-05T20:39:30.380+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 13%  158M 5s
[2024-12-05T20:39:30.385+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 14% 33.8M 5s
[2024-12-05T20:39:30.388+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 14% 9.55M 5s
[2024-12-05T20:39:30.388+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 14% 9.15M 5s
[2024-12-05T20:39:30.393+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 14% 9.34M 5s
[2024-12-05T20:39:30.396+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 15% 18.2M 5s
[2024-12-05T20:39:30.402+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 15% 9.67M 5s
[2024-12-05T20:39:30.406+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 15% 8.56M 5s
[2024-12-05T20:39:30.411+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 15% 10.6M 5s
[2024-12-05T20:39:30.416+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 16% 9.53M 5s
[2024-12-05T20:39:30.420+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 16% 11.9M 5s
[2024-12-05T20:39:30.424+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 16% 12.9M 5s
[2024-12-05T20:39:30.429+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 16% 10.5M 5s
[2024-12-05T20:39:30.433+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 16% 10.9M 5s
[2024-12-05T20:39:30.448+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 17% 3.50M 5s
[2024-12-05T20:39:30.449+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 17%  221M 4s
[2024-12-05T20:39:30.450+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 17% 21.5M 4s
[2024-12-05T20:39:30.452+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 17% 21.0M 4s
[2024-12-05T20:39:30.456+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 18% 11.2M 4s
[2024-12-05T20:39:30.461+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 18% 9.93M 4s
[2024-12-05T20:39:30.465+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 18% 13.3M 4s
[2024-12-05T20:39:30.470+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 18% 10.3M 4s
[2024-12-05T20:39:30.475+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 19% 9.73M 4s
[2024-12-05T20:39:30.480+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 19% 9.78M 4s
[2024-12-05T20:39:30.482+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 19% 20.4M 4s
[2024-12-05T20:39:30.487+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 19% 12.1M 4s
[2024-12-05T20:39:30.489+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 20% 17.6M 4s
[2024-12-05T20:39:30.493+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 20% 12.3M 4s
[2024-12-05T20:39:30.496+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 20% 17.3M 4s
[2024-12-05T20:39:30.499+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 20% 15.1M 4s
[2024-12-05T20:39:30.506+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 21% 18.4M 4s
[2024-12-05T20:39:30.507+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 21% 10.6M 4s
[2024-12-05T20:39:30.509+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 21% 16.0M 4s
[2024-12-05T20:39:30.514+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 21% 12.1M 4s
[2024-12-05T20:39:30.515+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 21% 39.2M 4s
[2024-12-05T20:39:30.516+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 22% 23.5M 4s
[2024-12-05T20:39:30.543+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 22% 1.97M 4s
[2024-12-05T20:39:30.559+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 22% 29.0M 4s
