[2024-12-06T17:52:50.725+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  4% 34.5M 9s
[2024-12-06T17:52:50.726+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  4% 29.9M 9s
[2024-12-06T17:52:50.727+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  4% 47.4M 9s
[2024-12-06T17:52:50.729+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  4% 28.1M 8s
[2024-12-06T17:52:50.730+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  4% 44.9M 8s
[2024-12-06T17:52:50.737+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  5% 6.88M 8s
[2024-12-06T17:52:50.738+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  5% 84.8M 8s
[2024-12-06T17:52:50.738+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  5% 90.1M 8s
[2024-12-06T17:52:50.739+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  5% 49.8M 8s
[2024-12-06T17:52:50.817+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  5%  748K 9s
[2024-12-06T17:52:50.831+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  5%  115M 9s
[2024-12-06T17:52:50.835+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  5%  147M 9s
[2024-12-06T17:52:50.863+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  5% 2.64M 9s
[2024-12-06T17:52:50.866+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  5% 34.9M 9s
[2024-12-06T17:52:50.877+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  5% 1.75M 9s
[2024-12-06T17:52:50.878+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  5% 4.02M 9s
[2024-12-06T17:52:50.879+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  5%  251M 9s
[2024-12-06T17:52:50.879+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  6%  115M 9s
