[2024-12-05T20:39:28.798+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.815+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.824+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.824+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.838+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-05T20:39:28.844+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=752) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.846+0000] {standard_task_runner.py:72} INFO - Started process 757 to run task
[2024-12-05T20:39:28.846+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpmawt41pn']
[2024-12-05T20:39:28.848+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask wget
[2024-12-05T20:39:28.894+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:29.364+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 21%  155M 1s
[2024-12-05T20:39:29.364+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 21%  117M 1s
[2024-12-05T20:39:29.364+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 21%  132M 1s
[2024-12-05T20:39:29.364+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 22%  120M 1s
[2024-12-05T20:39:29.365+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 22%  184M 1s
[2024-12-05T20:39:29.365+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 22% 70.8M 1s
[2024-12-05T20:39:29.366+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 22%  181M 1s
[2024-12-05T20:39:29.366+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 22%  246M 1s
[2024-12-05T20:39:29.367+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 22%  146M 1s
[2024-12-05T20:39:29.367+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 23%  206M 1s
[2024-12-05T20:39:29.367+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 23%  151M 1s
[2024-12-05T20:39:29.368+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 23%  310M 1s
[2024-12-05T20:39:29.369+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 23%  199M 1s
[2024-12-05T20:39:29.369+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 23%  193M 1s
[2024-12-05T20:39:29.369+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 23%  238M 1s
[2024-12-05T20:39:29.370+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 23%  188M 1s
[2024-12-05T20:39:29.371+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 24%  136M 1s
[2024-12-05T20:39:29.371+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 24%  207M 1s
[2024-12-05T20:39:29.372+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 24%  157M 1s
[2024-12-05T20:39:29.372+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 24%  234M 1s
[2024-12-05T20:39:29.373+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 24%  220M 1s
[2024-12-05T20:39:29.374+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 24%  236M 1s
