[2024-12-05T20:40:37.060+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.073+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.089+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-05T20:40:37.100+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpv6xtn7rs']
[2024-12-05T20:40:37.101+0000] {standard_task_runner.py:105} INFO - Job 37: Subtask wget
[2024-12-05T20:40:37.097+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=806) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.103+0000] {standard_task_runner.py:72} INFO - Started process 816 to run task
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.465+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  6%  272M 2s
[2024-12-05T20:40:37.468+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  6% 53.2M 2s
[2024-12-05T20:40:37.470+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  6%  106M 2s
[2024-12-05T20:40:37.474+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 46.5M 2s
[2024-12-05T20:40:37.475+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  7% 41.3M 2s
[2024-12-05T20:40:37.476+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  7% 26.3M 2s
[2024-12-05T20:40:37.477+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  7% 33.3M 2s
[2024-12-05T20:40:37.477+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  7% 81.2M 2s
[2024-12-05T20:40:37.478+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  7% 44.9M 2s
[2024-12-05T20:40:37.478+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  7% 17.8M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7% 15.9M 2s
[2024-12-05T20:40:37.479+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  8% 24.4M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  8% 13.9M 2s
[2024-12-05T20:40:37.480+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  8% 24.7M 2s
[2024-12-05T20:40:37.483+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  8% 4.78M 2s
[2024-12-05T20:40:37.484+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  8% 42.6M 2s
[2024-12-05T20:40:37.485+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  8% 98.9M 2s
[2024-12-05T20:40:37.485+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  9%  171M 2s
[2024-12-05T20:40:37.485+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  9%  219M 2s
[2024-12-05T20:40:37.494+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  9% 5.50M 2s
[2024-12-05T20:40:37.495+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  9% 39.7M 2s
[2024-12-05T20:40:37.497+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  9% 29.5M 2s
[2024-12-05T20:40:37.497+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  9% 53.3M 2s
[2024-12-05T20:40:37.520+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  9% 2.22M 2s
[2024-12-05T20:40:37.525+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 10% 51.4M 2s
[2024-12-05T20:40:37.525+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 10% 83.9M 2s
[2024-12-05T20:40:37.527+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 10%  136M 2s
[2024-12-05T20:40:37.529+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 10% 65.2M 2s
[2024-12-05T20:40:37.530+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 10% 79.3M 2s
[2024-12-05T20:40:37.530+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 10%  126M 2s
[2024-12-05T20:40:37.530+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 10%  107M 2s
[2024-12-05T20:40:37.530+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 11% 77.2M 2s
[2024-12-05T20:40:37.531+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 11%  148M 2s
[2024-12-05T20:40:37.531+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 11%  149M 2s
[2024-12-05T20:40:37.531+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 11% 31.8M 2s
[2024-12-05T20:40:37.532+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 11%  117M 2s
[2024-12-05T20:40:37.532+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 11%  153M 2s
[2024-12-05T20:40:37.533+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 12% 8.20M 2s
[2024-12-05T20:40:37.534+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 12% 53.2M 2s
[2024-12-05T20:40:37.535+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 12% 37.3M 2s
[2024-12-05T20:40:37.540+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 12%  203M 2s
[2024-12-05T20:40:37.543+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 12% 7.09M 2s
[2024-12-05T20:40:37.543+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 12% 60.9M 2s
[2024-12-05T20:40:37.544+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 12%  215M 2s
[2024-12-05T20:40:37.546+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 13% 17.7M 2s
[2024-12-05T20:40:37.547+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 13% 64.8M 2s
[2024-12-05T20:40:37.550+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 13% 18.3M 2s
[2024-12-05T20:40:37.550+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 13% 97.8M 2s
[2024-12-05T20:40:37.551+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 13%  199M 2s
[2024-12-05T20:40:37.562+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 13% 4.14M 2s
[2024-12-05T20:40:37.563+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 13%  101M 2s
[2024-12-05T20:40:37.564+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 14%  217M 2s
[2024-12-05T20:40:37.566+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 14% 15.5M 2s
[2024-12-05T20:40:37.570+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 14% 12.4M 2s
[2024-12-05T20:40:37.570+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 14%  186M 2s
[2024-12-05T20:40:37.600+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 14% 1.64M 2s
[2024-12-05T20:40:37.602+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 14%  111M 2s
[2024-12-05T20:40:37.602+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 15%  130M 2s
[2024-12-05T20:40:37.603+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 15%  173M 2s
[2024-12-05T20:40:37.603+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 15% 80.6M 2s
[2024-12-05T20:40:37.603+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 15%  204M 2s
[2024-12-05T20:40:37.604+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 15%  146M 2s
[2024-12-05T20:40:37.604+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 15%  258M 2s
[2024-12-05T20:40:37.605+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 15%  186M 2s
[2024-12-05T20:40:37.605+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 16%  216M 2s
[2024-12-05T20:40:37.606+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 16%  155M 2s
[2024-12-05T20:40:37.607+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 16%  235M 2s
[2024-12-05T20:40:37.608+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 16%  130M 2s
[2024-12-05T20:40:37.608+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 16%  249M 2s
[2024-12-05T20:40:37.608+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 16%  262M 1s
[2024-12-05T20:40:37.609+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 17% 16.0M 1s
[2024-12-05T20:40:37.609+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 17%  241M 1s
[2024-12-05T20:40:37.609+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 17%  233M 1s
[2024-12-05T20:40:37.609+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 17%  243M 1s
[2024-12-05T20:40:37.612+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 17% 13.2M 1s
[2024-12-05T20:40:37.613+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 17% 58.4M 1s
[2024-12-05T20:40:37.614+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 17% 36.1M 1s
[2024-12-05T20:40:37.615+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 18% 55.2M 1s
[2024-12-05T20:40:37.622+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 18% 7.40M 1s
[2024-12-05T20:40:37.624+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 18% 30.2M 1s
[2024-12-05T20:40:37.625+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 18% 48.7M 1s
[2024-12-05T20:40:37.640+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 18% 3.23M 1s
[2024-12-05T20:40:37.641+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 18%  123M 1s
[2024-12-05T20:40:37.641+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 18% 64.8M 1s
[2024-12-05T20:40:37.642+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 19% 72.6M 1s
[2024-12-05T20:40:37.643+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 19% 74.7M 1s
[2024-12-05T20:40:37.643+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 19% 40.4M 1s
[2024-12-05T20:40:37.644+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 19% 67.5M 1s
[2024-12-05T20:40:37.645+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 19%  174M 1s
[2024-12-05T20:40:37.645+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 19% 43.5M 1s
[2024-12-05T20:40:37.646+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 20%  105M 1s
[2024-12-05T20:40:37.648+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 20% 75.4M 1s
[2024-12-05T20:40:37.657+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 20% 4.44M 1s
[2024-12-05T20:40:37.658+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 20% 95.8M 1s
[2024-12-05T20:40:37.659+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 20% 33.1M 1s
[2024-12-05T20:40:37.660+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 20% 68.7M 1s
[2024-12-05T20:40:37.661+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 20%  171M 1s
[2024-12-05T20:40:37.663+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 21% 98.9M 1s
[2024-12-05T20:40:37.663+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 21% 56.6M 1s
[2024-12-05T20:40:37.667+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 21% 9.01M 1s
[2024-12-05T20:40:37.670+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 21% 17.4M 1s
[2024-12-05T20:40:37.671+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 21% 40.2M 1s
[2024-12-05T20:40:37.674+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 21% 46.2M 1s
[2024-12-05T20:40:37.698+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 21% 1.88M 1s
[2024-12-05T20:40:37.699+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 22% 43.9M 1s
[2024-12-05T20:40:37.700+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 22%  188M 1s
[2024-12-05T20:40:37.700+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 22%  221M 1s
[2024-12-05T20:40:37.701+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 22% 56.6M 1s
[2024-12-05T20:40:37.703+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 22%  139M 1s
[2024-12-05T20:40:37.703+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 22%  115M 1s
[2024-12-05T20:40:37.705+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 23% 71.5M 1s
[2024-12-05T20:40:37.705+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 23%  112M 1s
[2024-12-05T20:40:37.705+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 23% 64.9M 1s
[2024-12-05T20:40:37.706+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 23%  173M 1s
[2024-12-05T20:40:37.706+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 23% 85.5M 1s
[2024-12-05T20:40:37.719+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 23% 3.16M 1s
[2024-12-05T20:40:37.720+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 23% 85.3M 1s
