[2024-12-06T20:30:47.215+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:47.351+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:47.360+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:47.360+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:47.367+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-12-02 06:00:00+00:00
[2024-12-06T20:30:47.371+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4324) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:47.374+0000] {standard_task_runner.py:72} INFO - Started process 4329 to run task
[2024-12-06T20:30:47.374+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-12-02T06:00:00+00:00', '--job-id', '106', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpigcka4ph']
[2024-12-06T20:30:47.378+0000] {standard_task_runner.py:105} INFO - Job 106: Subtask wget
[2024-12-06T20:30:47.406+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:47.786+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  5%  186M 3s
[2024-12-06T20:30:47.786+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  5%  161M 3s
[2024-12-06T20:30:47.791+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  5% 35.8M 3s
[2024-12-06T20:30:47.801+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  5%  223M 3s
[2024-12-06T20:30:47.806+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  5%  234M 3s
[2024-12-06T20:30:47.807+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  5%  215M 3s
[2024-12-06T20:30:47.815+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  5%  114M 3s
[2024-12-06T20:30:47.821+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  5% 58.3M 3s
[2024-12-06T20:30:47.826+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  5% 16.3M 3s
[2024-12-06T20:30:47.826+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  5% 15.7M 3s
[2024-12-06T20:30:47.827+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  6% 15.6M 3s
[2024-12-06T20:30:47.827+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  6% 5.34M 3s
[2024-12-06T20:30:47.828+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  6%  280M 3s
