[2024-12-05T20:39:28.793+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.813+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.822+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.823+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.836+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-05T20:39:28.841+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=749) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.842+0000] {standard_task_runner.py:72} INFO - Started process 756 to run task
[2024-12-05T20:39:28.842+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjla8hq_z']
[2024-12-05T20:39:28.844+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask wget
[2024-12-05T20:39:28.895+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:29.708+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 17% 91.1M 1s
[2024-12-05T20:39:29.708+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 17%  169M 1s
[2024-12-05T20:39:29.708+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 17%  141M 1s
[2024-12-05T20:39:29.708+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 17%  144M 1s
[2024-12-05T20:39:29.708+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 18%  161M 1s
[2024-12-05T20:39:29.708+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 18% 4.70M 1s
[2024-12-05T20:39:29.757+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 18%  998K 2s
[2024-12-05T20:39:29.765+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 18% 85.5M 2s
[2024-12-05T20:39:29.766+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 18% 67.5M 2s
[2024-12-05T20:39:29.767+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 18% 94.0M 2s
[2024-12-05T20:39:29.767+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 19%  109M 2s
[2024-12-05T20:39:29.767+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 19% 64.9M 2s
[2024-12-05T20:39:29.767+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 19% 71.2M 2s
[2024-12-05T20:39:29.768+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 19%  161M 2s
[2024-12-05T20:39:29.768+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 19% 74.0M 2s
[2024-12-05T20:39:29.768+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 19%  232M 1s
[2024-12-05T20:39:29.768+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 20%  321M 1s
[2024-12-05T20:39:29.771+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 20%  262M 1s
