[2024-12-05T22:55:20.340+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  9% 1.74M 5s
[2024-12-05T22:55:20.342+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  9% 22.4M 5s
[2024-12-05T22:55:20.343+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  9% 29.3M 4s
[2024-12-05T22:55:20.347+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  9%  142M 4s
[2024-12-05T22:55:20.348+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  9%  107M 4s
[2024-12-05T22:55:20.350+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 10% 57.3M 4s
[2024-12-05T22:55:20.353+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 10% 41.9M 4s
[2024-12-05T22:55:20.354+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 10% 40.7M 4s
[2024-12-05T22:55:20.355+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 10% 61.3M 4s
[2024-12-05T22:55:20.355+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 10% 69.7M 4s
[2024-12-05T22:55:20.355+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 10%  102M 4s
[2024-12-05T22:55:20.356+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 11%  165M 4s
[2024-12-05T22:55:20.356+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 11% 24.7M 4s
[2024-12-05T22:55:20.357+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 11% 33.7M 4s
[2024-12-05T22:55:20.357+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 11% 44.9M 4s
[2024-12-05T22:55:20.357+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 11% 49.2M 4s
[2024-12-05T22:55:20.358+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 11% 45.6M 4s
[2024-12-05T22:55:20.359+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 12% 95.5M 4s
[2024-12-05T22:55:20.359+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 12% 80.8M 3s
[2024-12-05T22:55:20.360+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 12%  105M 3s
[2024-12-05T22:55:20.360+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 12% 95.8M 3s
[2024-12-05T22:55:20.360+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 12%  134M 3s
[2024-12-05T22:55:20.360+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 12% 96.8M 3s
[2024-12-05T22:55:20.361+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 13%  191M 3s
[2024-12-05T22:55:20.361+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 13%  187M 3s
[2024-12-05T22:55:20.361+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 13%  157M 3s
[2024-12-05T22:55:20.362+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 13%  195M 3s
[2024-12-05T22:55:20.363+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 13%  183M 3s
[2024-12-05T22:55:20.363+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 13%  185M 3s
[2024-12-05T22:55:20.364+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 14%  212M 3s
[2024-12-05T22:55:20.366+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 14%  168M 3s
[2024-12-05T22:55:20.367+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 14% 86.4M 3s
[2024-12-05T22:55:20.367+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 14%  231M 3s
[2024-12-05T22:55:20.368+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 14%  229M 3s
[2024-12-05T22:55:20.369+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 15% 65.7M 3s
[2024-12-05T22:55:20.371+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 15% 30.0M 3s
[2024-12-05T22:55:20.372+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 15% 70.6M 3s
[2024-12-05T22:55:20.372+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 15%  106M 3s
[2024-12-05T22:55:20.375+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 15% 21.8M 3s
[2024-12-05T22:55:20.377+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 15% 34.8M 3s
[2024-12-05T22:55:20.377+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 16% 13.3M 3s
[2024-12-05T22:55:20.378+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 16% 50.0M 3s
[2024-12-05T22:55:20.379+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 16% 32.7M 3s
[2024-12-05T22:55:20.380+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 16%  168M 3s
[2024-12-05T22:55:20.383+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 16%  175M 3s
[2024-12-05T22:55:20.426+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 16% 84.4M 2s
[2024-12-05T22:55:20.465+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 17%  192M 2s
[2024-12-05T22:55:20.476+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 17%  158M 2s
[2024-12-05T22:55:20.502+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 17%  209M 2s
[2024-12-05T22:55:20.504+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 17%  161M 2s
[2024-12-05T22:55:20.505+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 17%  209M 2s
[2024-12-05T22:55:20.507+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 17% 38.9M 2s
[2024-12-05T22:55:20.509+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 18% 35.7M 2s
[2024-12-05T22:55:20.513+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 18%  131M 2s
[2024-12-05T22:55:20.525+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 18% 82.0M 2s
[2024-12-05T22:55:20.541+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 18%  133M 2s
[2024-12-05T22:55:20.550+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 18% 70.7M 2s
[2024-12-05T22:55:20.554+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 18% 20.9M 2s
[2024-12-05T22:55:20.566+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 19% 30.1M 2s
[2024-12-05T22:55:20.608+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 19%  485K 3s
[2024-12-05T22:55:20.675+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 19% 6.82M 3s
[2024-12-05T22:55:20.684+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 19% 48.9M 3s
[2024-12-05T22:55:20.716+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 19%  116M 3s
[2024-12-05T22:55:20.723+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 19% 37.6M 3s
[2024-12-05T22:55:20.724+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 20% 26.3M 3s
[2024-12-05T22:55:20.725+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 20% 98.4M 2s
[2024-12-05T22:55:20.725+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 20%  118M 2s
[2024-12-05T22:55:20.726+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 20% 53.5M 2s
[2024-12-05T22:55:20.775+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 20% 18.4M 2s
[2024-12-05T22:55:20.812+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 20% 59.5M 2s
[2024-12-05T22:55:21.076+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 21% 56.9M 2s
[2024-12-05T22:55:21.095+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 21% 63.6M 2s
[2024-12-05T22:55:21.128+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 21%  137M 2s
[2024-12-05T22:55:21.363+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 21% 34.9M 2s
[2024-12-05T22:55:21.380+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 21%  188M 2s
[2024-12-05T22:55:21.422+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 22%  186M 2s
[2024-12-05T22:55:21.439+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 22% 70.2M 2s
[2024-12-05T22:55:21.442+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 22% 72.1M 2s
[2024-12-05T22:55:21.444+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 22% 73.4M 2s
[2024-12-05T22:55:21.445+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 22%  101M 2s
[2024-12-05T22:55:21.454+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 22%  201M 2s
[2024-12-05T22:55:21.459+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 23%  132M 2s
[2024-12-05T22:55:21.463+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 23%  189M 2s
[2024-12-05T22:55:21.467+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 23%  213M 2s
[2024-12-05T22:55:21.469+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 23%  187M 2s
[2024-12-05T22:55:21.471+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 23%  166M 2s
[2024-12-05T22:55:21.486+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 23%  164M 2s
[2024-12-05T22:55:21.491+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 24%  182M 2s
[2024-12-05T22:55:21.494+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 24%  173M 2s
[2024-12-05T22:55:21.500+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 24%  210M 2s
[2024-12-05T22:55:21.507+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 24% 4.85M 2s
[2024-12-05T22:55:21.510+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 24% 47.6M 2s
[2024-12-05T22:55:21.516+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 24% 72.3M 2s
[2024-12-05T22:55:21.519+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 25% 36.0M 2s
[2024-12-05T22:55:21.523+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 25% 65.9M 2s
[2024-12-05T22:55:21.530+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 25% 3.77M 2s
[2024-12-05T22:55:21.532+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 25% 4.74M 2s
[2024-12-05T22:55:21.538+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 25% 2.40M 2s
[2024-12-05T22:55:21.540+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 25%  720K 2s
[2024-12-05T22:55:21.545+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 26% 2.98M 2s
[2024-12-05T22:55:21.546+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 26% 2.53M 2s
[2024-12-05T22:55:21.556+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 26%  505K 3s
[2024-12-05T22:55:21.558+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 26%  167K 3s
[2024-12-05T22:55:21.570+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 26%  923K 3s
[2024-12-05T22:55:21.576+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 26%  391K 4s
[2024-12-05T22:55:21.588+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 27%  397K 4s
[2024-12-05T22:55:21.596+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 27% 42.5M 4s
[2024-12-05T22:55:21.600+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 27%  161M 4s
[2024-12-05T22:55:21.609+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 27% 1.48M 4s
[2024-12-05T22:55:21.611+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 27%  128M 4s
[2024-12-05T22:55:21.615+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 27%  190M 4s
[2024-12-05T22:55:21.620+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 28%  134M 4s
[2024-12-05T22:55:21.624+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 28% 7.69M 4s
[2024-12-05T22:55:21.627+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 28% 3.18M 4s
[2024-12-05T22:55:21.637+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 28% 6.05M 4s
[2024-12-05T22:55:21.639+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 28% 15.2M 4s
[2024-12-05T22:55:21.656+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 29% 7.14M 4s
[2024-12-05T22:55:21.659+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 29%  128M 4s
[2024-12-05T22:55:21.660+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 29% 61.0M 4s
[2024-12-05T22:55:21.663+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 29%  172M 4s
[2024-12-05T22:55:21.666+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 29% 5.24M 4s
[2024-12-05T22:55:21.667+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 29% 8.48M 4s
[2024-12-05T22:55:21.671+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 30% 10.5M 4s
[2024-12-05T22:55:21.676+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 30% 30.3M 4s
[2024-12-05T22:55:21.679+0000] {subprocess.py:106} INFO -   8850K .......... .......... .......... .......... .......... 30% 3.55M 4s
[2024-12-05T22:55:21.681+0000] {subprocess.py:106} INFO -   8900K .......... .......... .......... .......... .......... 30% 21.7M 4s
[2024-12-05T22:55:21.685+0000] {subprocess.py:106} INFO -   8950K .......... .......... .......... .......... .......... 30%  113M 4s
[2024-12-05T22:55:21.688+0000] {subprocess.py:106} INFO -   9000K .......... .......... .......... .......... .......... 30% 31.8M 4s
[2024-12-05T22:55:21.690+0000] {subprocess.py:106} INFO -   9050K .......... .......... .......... .......... .......... 31% 18.8M 4s
[2024-12-05T22:55:21.692+0000] {subprocess.py:106} INFO -   9100K .......... .......... .......... .......... .......... 31% 50.5M 4s
[2024-12-05T22:55:21.694+0000] {subprocess.py:106} INFO -   9150K .......... .......... .......... .......... .......... 31% 19.8M 4s
[2024-12-05T22:55:21.696+0000] {subprocess.py:106} INFO -   9200K .......... .......... .......... .......... .......... 31% 9.79M 4s
[2024-12-05T22:55:21.699+0000] {subprocess.py:106} INFO -   9250K .......... .......... .......... .......... .......... 31% 61.7M 4s
[2024-12-05T22:55:21.708+0000] {subprocess.py:106} INFO -   9300K .......... .......... .......... .......... .......... 31% 56.9M 4s
[2024-12-05T22:55:21.712+0000] {subprocess.py:106} INFO -   9350K .......... .......... .......... .......... .......... 32% 70.8M 3s
[2024-12-05T22:55:21.716+0000] {subprocess.py:106} INFO -   9400K .......... .......... .......... .......... .......... 32%  109M 3s
[2024-12-05T22:55:21.725+0000] {subprocess.py:106} INFO -   9450K .......... .......... .......... .......... .......... 32% 61.2M 3s
[2024-12-05T22:55:21.733+0000] {subprocess.py:106} INFO -   9500K .......... .......... .......... .......... .......... 32%  123M 3s
[2024-12-05T22:55:21.735+0000] {subprocess.py:106} INFO -   9550K .......... .......... .......... .......... .......... 32% 66.1M 3s
