[2024-12-06T20:30:25.803+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 19%  218M 4s
[2024-12-06T20:30:25.805+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 19%  259M 4s
[2024-12-06T20:30:25.806+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 19%  230M 4s
[2024-12-06T20:30:25.807+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 20%  273M 4s
[2024-12-06T20:30:25.809+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 20% 13.7M 4s
[2024-12-06T20:30:25.809+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 20%  253M 4s
[2024-12-06T20:30:25.816+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 20%  251M 4s
[2024-12-06T20:30:25.822+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 21%  242M 4s
[2024-12-06T20:30:25.825+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 21%  251M 4s
[2024-12-06T20:30:25.830+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 21%  317M 4s
[2024-12-06T20:30:25.831+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 21%  303M 4s
[2024-12-06T20:30:25.832+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 21%  139M 4s
[2024-12-06T20:30:25.836+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 22%  308M 4s
[2024-12-06T20:30:25.843+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 22%  294M 4s
[2024-12-06T20:30:25.844+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 22%  239M 4s
[2024-12-06T20:30:25.846+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 22%  254M 4s
[2024-12-06T20:30:25.847+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 23%  237M 4s
[2024-12-06T20:30:25.858+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 23%  308M 3s
[2024-12-06T20:30:25.862+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 23%  245M 3s
[2024-12-06T20:30:25.866+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 23%  264M 3s
[2024-12-06T20:30:25.870+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 24%  177M 3s
[2024-12-06T20:30:25.872+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 24%  228M 3s
[2024-12-06T20:30:25.877+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 24%  288M 3s
[2024-12-06T20:30:25.881+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 24%  178M 3s
[2024-12-06T20:30:25.882+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 25% 80.4M 3s
[2024-12-06T20:30:25.884+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 25%  253M 3s
[2024-12-06T20:30:25.889+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 25%  193M 3s
[2024-12-06T20:30:25.901+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 25%  292M 3s
[2024-12-06T20:30:25.903+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 25%  195M 3s
[2024-12-06T20:30:25.946+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 26%  263M 3s
[2024-12-06T20:30:25.950+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 26%  312M 3s
[2024-12-06T20:30:26.030+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 26%  219K 4s
[2024-12-06T20:30:26.082+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 26%  967K 4s
[2024-12-06T20:30:26.092+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 27% 42.7M 4s
[2024-12-06T20:30:26.102+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 27%  295M 4s
[2024-12-06T20:30:26.108+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 27%  280M 4s
[2024-12-06T20:30:26.119+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 27%  270M 3s
[2024-12-06T20:30:26.155+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 28% 27.3M 3s
[2024-12-06T20:30:26.318+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 28%  218M 3s
[2024-12-06T20:30:26.451+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 28%  291M 3s
[2024-12-06T20:30:26.502+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 28%  135M 3s
[2024-12-06T20:30:26.514+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 29% 20.8M 3s
[2024-12-06T20:30:26.548+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 29%  152M 3s
[2024-12-06T20:30:26.569+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 29% 95.1M 3s
[2024-12-06T20:30:26.575+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 29%  139M 3s
[2024-12-06T20:30:26.586+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 29% 24.9M 3s
[2024-12-06T20:30:26.587+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 30%  257M 3s
[2024-12-06T20:30:26.591+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 30% 36.1M 3s
[2024-12-06T20:30:26.594+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 30%  114M 3s
[2024-12-06T20:30:26.596+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 30%  151M 3s
[2024-12-06T20:30:26.603+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 31%  134M 3s
[2024-12-06T20:30:26.604+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 31% 59.7M 3s
[2024-12-06T20:30:26.605+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 31% 78.3M 3s
[2024-12-06T20:30:26.606+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 31%  106M 3s
[2024-12-06T20:30:26.606+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 32% 79.3M 3s
[2024-12-06T20:30:26.607+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 32%  173M 3s
[2024-12-06T20:30:26.608+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 32%  189M 3s
[2024-12-06T20:30:26.609+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 32%  232M 3s
[2024-12-06T20:30:26.611+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 33%  290M 3s
[2024-12-06T20:30:26.616+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 33% 14.6M 3s
[2024-12-06T20:30:26.618+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 33% 37.6M 3s
[2024-12-06T20:30:26.619+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 33%  222M 3s
[2024-12-06T20:30:26.625+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 33%  122M 3s
[2024-12-06T20:30:26.628+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 34%  215M 3s
[2024-12-06T20:30:26.633+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 34% 80.8M 3s
[2024-12-06T20:30:26.641+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 34% 53.4M 3s
[2024-12-06T20:30:26.649+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 34% 38.2M 3s
[2024-12-06T20:30:26.651+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 35% 42.2M 3s
[2024-12-06T20:30:26.656+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 35% 22.9M 2s
[2024-12-06T20:30:26.660+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 35%  211M 2s
[2024-12-06T20:30:26.662+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 35% 65.3M 2s
