[2024-12-06T17:46:30.414+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:30.428+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:31.008+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:31.010+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:31.034+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-09-02 06:00:00+00:00
[2024-12-06T17:46:31.044+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2208) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:31.047+0000] {standard_task_runner.py:72} INFO - Started process 2213 to run task
[2024-12-06T17:46:31.048+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-09-02T06:00:00+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp4ndnyonz']
[2024-12-06T17:46:31.053+0000] {standard_task_runner.py:105} INFO - Job 48: Subtask wget
[2024-12-06T17:46:31.161+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:32.132+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 10% 29.5M 2s
[2024-12-06T17:46:32.133+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 10%  175M 2s
[2024-12-06T17:46:32.134+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 10% 49.3M 2s
[2024-12-06T17:46:32.141+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 10%  107M 2s
[2024-12-06T17:46:32.144+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 10%  164M 2s
[2024-12-06T17:46:32.146+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 10% 65.8M 2s
[2024-12-06T17:46:32.148+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 10% 88.4M 2s
[2024-12-06T17:46:32.150+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 10%  166M 2s
[2024-12-06T17:46:32.152+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 10% 28.7M 2s
[2024-12-06T17:46:32.155+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 11% 30.6M 2s
[2024-12-06T17:46:32.158+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 11% 9.21M 2s
[2024-12-06T17:46:32.160+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 11% 21.9M 2s
[2024-12-06T17:46:32.162+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 11% 32.3M 2s
